id,transaction_hash,from_address,to_address,amount,dex,function_called,block_number,timestamp
9617,0x528665246df7864d489e5a65ba5bd29b69a1f47d6bd839e230ed75f922523e88,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x18556DA13313f3532c54711497A8FedAC273220E,37680.086013907494,"Trader Joe","Remove Liquidity",52831739,2024-11-09T00:58:49.000Z
9616,0xe4ed318bdf15f96719e70ddad11c91b3a8dea3e4621a92fb2862ad9e55de5f9c,0x822C2b6f471CC7e037fC3E559E56101d866dc4f4,0x02bAC62D2f7E67e58e318cd9C2054A698EFe4a2d,0.10919289359304125,"Trader Joe","Swap Tokens For ARENA",52831554,2024-11-09T00:52:40.000Z
9615,0x53c37e6640a8c68579f70ad4759930c1ce194bcc3d11329eeb9ea8982d13212a,0x7FA6013f882d16baE181c9DD653426a22b1Ad6Eb,0xc010A798F9eED73395A9C72520298ba33a48a2B7,10000,"Trader Joe","Swap Arena for AVAX",52831469,2024-11-09T00:49:46.000Z
9614,0x7ba869455409c4b549564c6c094fb6febd762f1750095651d0588a8316ff9539,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x064738325B9c335873c2f42B10dd586c03ff48cF,113256.87328679064,"Trader Joe","Swap AVAX For Arena",52831385,2024-11-09T00:46:52.000Z
9613,0x5474d64d7e6e06d410826dd2bbb3ac7166767a4b0ff8b8937ae5e05ca53ee46f,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x693e1c73D123Fa4083B19F26Ae8F324f9593Ba50,3400.2106409020607,"Trader Joe","Swap Tokens For ARENA",52831190,2024-11-09T00:40:28.000Z
9612,0x35d0c7606f0ac094af804e5302bfd800f235d0b66d556c53f3aae02903ec962e,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xD0e865E31FE7a94468Dd0247632c397B1804Fd7e,3000.326338475887,"Trader Joe","Swap AVAX For Arena",52831131,2024-11-09T00:38:30.000Z
9611,0x52370ba18df5f8940f817c3349543835153f9401301cefbd28c9dc264a6c89f4,0xa327639F0285a19D872a9b7971cFe2d41505EdB9,0xc010A798F9eED73395A9C72520298ba33a48a2B7,8771.034909883005,"Trader Joe","Swap Arena for AVAX",52830798,2024-11-09T00:27:21.000Z
9610,0x87c8d0387fc3230426ad1a6affdc7f1011a1e2f198101fd5cfd642b31fb6dd3f,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x1d12E0e0E6541E77e8C7AD0329C56C24108614C0,1379.2549416225759,"Trader Joe","Swap AVAX For Arena",52830697,2024-11-09T00:24:19.000Z
9609,0x7e12dd09bf73bc7d9f38178b47ac1a462a2d3266bcecf68bf9fe5d6b1a94f63a,0xa327639F0285a19D872a9b7971cFe2d41505EdB9,0x015B96160687614E76BF038d507DFf2e683C2AC4,50000,"Trader Joe","Add Liquidity",52830679,2024-11-09T00:23:38.000Z
9608,0x5720771b2613e74b3ebdb06101abedf65be92962e58fa4760b8588a849867290,0x226d7CA830c064a881afB9F1e2ba18a0926ED759,0xc010A798F9eED73395A9C72520298ba33a48a2B7,25020,"Trader Joe","Swap Arena for AVAX",52830621,2024-11-09T00:21:51.000Z
9607,0xc5be35f84739f1a72be0e102dfd04bfcf29576edab0a45b9df41a703b22193ed,0x4a6f4C7d65263C270DaAd70C24AC47840B410778,0x015B96160687614E76BF038d507DFf2e683C2AC4,371856.79024033574,"Trader Joe","Swap Arena for AVAX",52830468,2024-11-09T00:16:41.000Z
9606,0x1e429d18608409de4fa6a3bcd9a7dfc95f9cc1544228fbdc1cf4ea16935e78a4,0x4d74d7d8C6f2C86C7EfbfA8fF2A10212b766a8a7,0x015B96160687614E76BF038d507DFf2e683C2AC4,7200,"Trader Joe","Add Liquidity",52830429,2024-11-09T00:15:23.000Z
9605,0x46ee71d283ca027d466396f92e3bb7d51f28c9321f224d4a89dda1cbf8ea66a9,0xC7F1C4EE69225f95A0d309CE44573f8753e25eE2,0x1d12E0e0E6541E77e8C7AD0329C56C24108614C0,1037.0178366419939,"Trader Joe","Swap AVAX For Arena",52830420,2024-11-09T00:15:06.000Z
9604,0x606be4fb37ef31550d8dea050950c25c43016c5365d86e1bfbbda960c6c681e9,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xcd715d5F8A35B6cbDAFF0d93bC42FF3F53fD1306,23811.920025897904,"Trader Joe","Swap Tokens For ARENA",52830322,2024-11-09T00:11:43.000Z
9603,0x535bed476fb3158e9da0a20b4013c9d5ceee3afe3015ba4c949c42065eeb4581,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0x0F70CDCc0d7412b0126c429E080799c92FA4E1b3,10257.718466462524,"Trader Joe","Swap AVAX For Arena",52830201,2024-11-09T00:07:35.000Z
9602,0x398e13d7b7232a844879f71f63e8d85ed8746f461eeda1fb03a7a266e0708f5d,0xBA88EB9B49Ff8B97F44E3d8E251943a4c75bE798,0x015B96160687614E76BF038d507DFf2e683C2AC4,68328.69680040599,"Trader Joe","Add Liquidity",52830141,2024-11-09T00:05:31.000Z
9601,0x4980ee44280803ce7c2477d84d5f4111ba0fcff0d06686048d89dc6f9bb39a2e,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0x11902dC458d7e2CE6bAC74859ddb07c7861b70Ad,34206.2168727625,"Trader Joe","Swap AVAX For Arena",52830127,2024-11-09T00:05:05.000Z
9600,0xeb9b7dfb3b5f3bccd81769de269df2d167535a5a2258043188067d3fe248e6e0,0xB699B3B400af32dfF79c768b19DDd78E5B80672a,0x015B96160687614E76BF038d507DFf2e683C2AC4,285.584001,"Trader Joe","Swap Arena for AVAX",52830110,2024-11-09T00:04:28.000Z
9599,0x6b7e454c08117f7aeebbc64ab7d06322a6131413cedbb7d1c4a001eea8de4201,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xBA88EB9B49Ff8B97F44E3d8E251943a4c75bE798,68328.69680040599,"Trader Joe","Swap AVAX For Arena",52830084,2024-11-09T00:03:36.000Z
9598,0x9ccf747885e18b9d3d66892e6671976db2f61a89b0c970ae53b4d895e021f6e2,0xc010A798F9eED73395A9C72520298ba33a48a2B7,0x11902dC458d7e2CE6bAC74859ddb07c7861b70Ad,68689.09366053391,"Trader Joe","Swap AVAX For Arena",52830065,2024-11-09T00:02:58.000Z
9597,0x19e0dcd8dab7f42e2030ff683d03e9edb443ed9cb41f68f4e60501bb0dbd99e3,0x015B96160687614E76BF038d507DFf2e683C2AC4,0xF3343500834b6c2e5dD9f644e6D860C2d82C6590,595792.7697193015,"Trader Joe","Swap Tokens For ARENA",52830007,2024-11-09T00:00:58.000Z
9596,0x8eba38a3e5519a7927b3b31f6967dd734ed3e8ebd58db8c982f141a35ca00121,0x8d9383E29B04151F670440BcA66b7D5F8D51383C,0x015B96160687614E76BF038d507DFf2e683C2AC4,2500,"Trader Joe","Swap Arena for AVAX",52829950,2024-11-08T23:59:05.000Z
9595,0x1ac3e5f91dbce56fe89c93b1be9457028aab21f9cd3636cced770ad71eddc4ed,0x822C2b6f471CC7e037fC3E559E56101d866dc4f4,0x5e99b0877E7017f25Ec43b9125591880C5A7CA09,7780.512164216002,"Trader Joe","Swap AVAX For Arena",52829859,2024-11-08T23:56:03.000Z
9594,0x1d00da4efd7bb7c259c4dc74e03b6ed92988a0e2bb3e30745e90338261460eff,0x9C517Bf4137CA7FF714532c93d6b25aD86b0Ab81,0xc010A798F9eED73395A9C72520298ba33a48a2B7,7145.895711893579,"Trader Joe","Swap Arena for AVAX",52829710,2024-11-08T23:50:48.000Z
9593,0x18b19e62ed48e1eeabc93de30011e7dab060a3276387c556fdf4d5fcb07d85fb,0x6Af025C73E11749327633c2EDF58AFB20346f466,0x822C2b6f471CC7e037fC3E559E56101d866dc4f4,14000.02,"Trader Joe","Add Liquidity",52829678,2024-11-08T23:49:42.000Z
9592,0xea60eb67664dec8e2a5d411ed290cc2dd70229825241e7472f883696bd6e990f,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x55d594C142B4EdfbB920BCF910326a21106bf406,7070.734804337703,"Trader Joe","Swap AVAX For Arena",52829591,2024-11-08T23:46:33.000Z
9591,0x4e2158cf0b5bb19aa573502ed1380928f1ca9e5b1ff40143e4d8b802fe04960f,0x015B96160687614E76BF038d507DFf2e683C2AC4,0x18556DA13313f3532c54711497A8FedAC273220E,1872317.558080055,"Trader Joe","Remove Liquidity",52829521,2024-11-08T23:44:11.000Z
